Number_of_Neighbours	Number_of_PCs	Number_of_Cells	Number_of_HVGs	Algorithm.Leiden	Algorithm.Louvain	Algorithm.Walktrap	Exp_Type.Droplet	acceptable_ari
46	9	2781	500	0	0	1	1	0
47	9	2781	500	0	0	1	1	0
48	9	2781	500	0	0	1	1	0
49	9	2781	500	0	0	1	1	0
50	9	2781	500	0	0	1	1	0
1	30	3909	500	0	0	1	1	0
2	30	3909	500	0	0	1	1	0
3	30	3909	500	0	0	1	1	0
4	30	3909	500	0	0	1	1	0
5	30	3909	500	0	0	1	1	0
6	30	3909	500	0	0	1	1	0
7	30	3909	500	0	0	1	1	0
8	30	3909	500	0	0	1	1	0
9	30	3909	500	0	0	1	1	0
10	30	3909	500	0	0	1	1	0
11	30	3909	500	0	0	1	1	0
12	30	3909	500	0	0	1	1	0
13	30	3909	500	0	0	1	1	0
14	30	3909	500	0	0	1	1	0
15	30	3909	500	0	0	1	1	0
16	30	3909	500	0	0	1	1	0
17	30	3909	500	0	0	1	1	0
18	30	3909	500	0	0	1	1	0
19	30	3909	500	0	0	1	1	0
20	30	3909	500	0	0	1	1	0
21	30	3909	500	0	0	1	1	0
22	30	3909	500	0	0	1	1	0
23	30	3909	500	0	0	1	1	0
24	30	3909	500	0	0	1	1	1
25	30	3909	500	0	0	1	1	0
26	30	3909	500	0	0	1	1	0
27	30	3909	500	0	0	1	1	1
28	30	3909	500	0	0	1	1	1
29	30	3909	500	0	0	1	1	1
30	30	3909	500	0	0	1	1	1
31	30	3909	500	0	0	1	1	1
32	30	3909	500	0	0	1	1	1
33	30	3909	500	0	0	1	1	1
34	30	3909	500	0	0	1	1	1
35	30	3909	500	0	0	1	1	1
36	30	3909	500	0	0	1	1	1
37	30	3909	500	0	0	1	1	1
38	30	3909	500	0	0	1	1	1
39	30	3909	500	0	0	1	1	1
40	30	3909	500	0	0	1	1	1
41	30	3909	500	0	0	1	1	0
42	30	3909	500	0	0	1	1	0
